spec_id	id	cat	sub_cat	signal	title	gate	fact
STD26_0909_A_002	2026-09-08_GL_03	Materials	lithium_mining	high	Core Lithium, Finniss 리튬 광산 스포듀민 정광 생산 재개	Finniss 재가동이 계획·정비 단계를 넘어 실제 정광 생산으로 전환됐다.	Core Lithium은 9월 8일 Northern Territory의 Finniss 공정설비에서 재가동 후 첫 스포듀민 정광을 생산했다고 밝혔다. Grants 노천광산 채굴은 5월 재개됐고, 8월에는 파쇄 회로를 재가동했다.
STD26_0909_A_003	2026-09-02_EU_05	ESS	financing	high	Aukera, 유럽 ESS·재생에너지 포트폴리오에 €4.6억 신용한도 확보	유럽 BESS 개발자금이 개별 프로젝트 대출을 넘어 플랫폼 단위 대규모 신용조달로 확대됐다.	Aukera는 EIG가 주도한 총 €4.6억 규모 구조화 신용한도 거래를 마감했다. 기존 €2억 초기 확약에 €2.6억 규모 Series 2 확약 트랜치가 추가됐으며, 자금은 유럽 5개 시장의 배터리저장·재생에너지·에너지인프라 포트폴리오 확대에 쓰인다.
STD26_0909_A_004	2026-09-02_CN_01	Battery	sodium_ion_supply	high	HiNa Battery–Volta, 나트륨이온 배터리 5년·10GWh 공급 협력	나트륨이온 배터리가 소규모 실증을 넘어 장기 GWh급 공급계약 단계로 이동했다.	HiNa Battery와 한국 Volta는 9월 2일 5년간 10GWh 규모의 나트륨이온 배터리 공급 협약을 체결했다. 이는 기존 15MWh 규모 ESS 협력에서 크게 확대된 것이다.
STD26_0909_A_007	2026-09-08_CN_01	Materials	rare_earth_trade	medium	중국 8월 희토류 수출 4,735t…전월 대비 12.1% 증가	희토류 수출량이 월간 반등했지만 글로벌 공급망의 구조적 제약은 해소되지 않았다.	중국의 8월 희토류 수출은 약 4,735t으로 7월 4,224t 대비 12.1% 증가했다. 다만 1~8월 월평균 수준에는 못 미쳤고, 미국향 일부 품목의 접근성 불확실성도 이어졌다.
STD26_0909_A_009	2026-09-08_KR_04	ESS	military_microgrid	high	상무대, 9.76MWh ESS 포함 군 차세대 하이브리드 마이크로그리드 착공	군 전력망이 ESS를 포함한 실제 고정·이동형 마이크로그리드 구축 단계로 진입했다.	한국에너지공단과 육군은 9월 8일 상무대 차세대 전력망 실증사업에 착공했다. 고정형 설비는 3,015kW 태양광, 9.76MWh ESS, 4MW 디젤발전기로 구성되며 이동형 설비와 통합 운용한다.
STD26_0909_A_010	2026-09-09_GL_01	Battery	market_share	high	비중국 EV 배터리 1~7월 316.2GWh…한국 3사 점유율 27.2%	비중국 시장 성장과 한국 배터리 3사의 점유율 하락이 동시에 확인됐다.	SNE Research에 따르면 2026년 1~7월 중국 제외 글로벌 EV 배터리 사용량은 316.2GWh로 전년 동기 대비 25.8% 증가했다. LG에너지솔루션·SK온·삼성SDI 3사의 합산 사용량은 86.1GWh로 8.9% 감소했고 점유율은 37.6%에서 27.2%로 10.4%p 하락했다.
STD26_0909_A_012	2026-09-09_CN_01	Battery	ess_cell_pricing	high	중국 ESS 셀 가격 인상 확산…배터리 소비세 2% 시행과 원가상승 반영	중국 ESS 셀 가격이 장기 하락 국면에서 세금·원재료 비용을 반영하는 인상 국면으로 전환되는 조짐이다.	9월 중국 ESS 셀 시장에서 가격 인상 움직임이 확산됐다. CATL 314Ah 셀 공개가격은 0.414위안/Wh에서 0.423위안/Wh로 올랐고, EVE Energy는 9월 1일부터 국내 배터리 제품에 2% 소비세 비용을 반영한다고 안내했다. 중국은 9월 1일부터 리튬이온전지 등에 2% 소비세를 적용했다.
STD26_0909_A_013	2026-09-08_GL_04	Materials	rare_earth_financing	high	브라질 BNDES, Viridis Colossus 희토류 사업에 R$7,750만 장기금융 승인	비중국 희토류 공급망이 정책 구호를 넘어 개발은행 장기금융으로 구체화됐다.	브라질 BNDES는 Viridis Mining의 Colossus 희토류 프로젝트 관련 시설에 R$77.5m 규모 금융을 승인했다. 자금은 Poços de Caldas의 연구·처리센터와 실증 플랜트 운영·연구개발을 지원하며 만기는 16년이다.
STD26_0909_A_015	2026-09-08_EU_02	ESS	construction_start	medium	ENGIE, 벨기에 Coo 74MW/296MWh BESS 착공	기존 수력 유연성 거점에 대형 BESS가 실제 건설 단계로 추가되고 있다.	ENGIE는 벨기에 Coo에서 74MW/296MWh BESS 건설을 시작했다. 프로젝트는 4시간 저장용량으로 설계됐고 2028년 초 가동을 목표로 한다.
STD26_0909_A_016	2026-09-09_EU_01	Energy	ai_power_offtake	high	Google, 핀란드 AI 인프라에 €130억 투자·Fortum과 22년 원전 PPA	AI 데이터센터 증설이 장기 전력오프테이크와 신규 계통 유연성 자산을 동시에 끌어들이고 있다.	Google은 2027~2028년 핀란드에 €13bn을 투자하겠다고 발표했고, Fortum과 Loviisa 원전 수명연장을 뒷받침하는 22년 PPA를 체결했다. 계약은 원전 용량의 최대 50%를 대상으로 하며, Google은 Kajaani 인근 94MW 배터리 시스템 계약도 공개했다.
