# 2026-07 Monthly Brief screening ledger
# count=365 | main=3bb929004ff8b547b86e5f1beab0efb3dac19d62 | blob=beb2aa7615b583b4c9c0c269974601a0b26c2684

001 | top  | 2026-07-31 | GL | 2026-07-31_GL_02 | 인도, 5,000MW 수상태양광·최소 2시간 ESS PM-Surya Sarovar 승인 | FACT: 인도 연방 내각은 PM-Surya Sarovar Yojana를 승인했다. 제도는 5,000MW 수상태양광과 최소 2시간 에너지저장장치를 결합하는 구조를 지원한다. | GATE: 이번 사건은 제도 승인 단계이며 개별 프로젝트 선정·착공을 의미하지 않는다. 후속 판단 지점은 세부 사업 선정과 실제 집행 속도다.
002 | top  | 2026-07-31 | CN | 2026-07-31_CN_01 | CMOC, CATL 상품 매매 프레임워크 계약 갱신 | FACT: CMOC 이사회는 7월 31일 CATL과의 상품 판매·구매 프레임워크 계약 진입을 승인하고 연간 거래상한 수정안을 공시했다. 계약의 유효기간은 2028년까지로 제시됐다. | GATE: 이번 사건은 이사회 승인과 프레임워크 갱신 공시 단계다. 후속 판단 지점은 주주 승인과 실제 거래 집행, 품목별 물량 변화다.
003 | top  | 2026-07-30 | EU | 2026-07-30_EU_03 | Greenvolt, 폴란드 200MW/800MWh BESS 개장 | FACT: Energy-Storage.News는 Greenvolt가 2026년 7월 30일 Turośń Kościelna BESS를 개장했다고 보도했다. 시설은 200MW/800MWh 규모이며 Blackridge Research도 동일 시설의 개장과 용량을 독립 확인했다. | GATE: 기존 건설·전력화 단계에서 실제 개장 단계로 이동한 후속 실행 신호다. 다만 개장 사실을 완전한 상업운전 개시로 확대 해석해서는 안 된다.
004 | top  | 2026-07-29 | US | 2026-07-29_US_02 | 미 DOE, Paducah 전력인프라 사업자로 NextEra 선정…최대 2.6GW BESS안 | FACT: 미 에너지부(DOE)는 2026년 7월 29일 Paducah 부지에서 Brookfield를 데이터센터 캠퍼스 개발·운영사로, NextEra Energy를 전용 에너지 인프라 건설·소유사로 선정했다. NextEra 공개안은 최대 1.8GW 유틸리티 전력용량의 캠퍼스에 최대 2GW 가스발전과 최대 2.6GW BESS를 포함한 | GATE: 현재 확정된 사항은 데이터센터 개발 파트너와 전용 전력인프라 사업자 선정, 그리고 최대 개발규모다. NextEra 전력안은 최대 2GW 가스발전과 최대 2.6GW BESS를 포함하며 전력서비스계약에는 켄터키 공공서비스위원회 승인이 남아 있다.
005 | top  | 2026-07-27 | GL | 2026-07-27_GL_01 | ADB 등, 동티모르 73.7MWac 태양광·80.2MWh BESS 금융지원 | FACT: ADB와 파트너 기관은 7월 27일 동티모르 최초의 유틸리티급 태양광+BESS 및 첫 IPP 사업을 지원한다고 발표했다. Manatuto에 73.7MWac 태양광, 80.2MWh BESS와 송전설비를 건설하며, ADB 일반재원 1,300만달러·ADF 보증 650만달러·캐나다 기후기금 1,100만달러·LEAP 2 지원 1, | GATE: 4,150만달러는 ADB와 파트너의 지원패키지로 총사업비나 sponsor equity 전체를 뜻하지 않는다. 금융종결, PPA 요금·기간, 건설계약과 계통연계 일정이 남아 있다.
006 | top  | 2026-07-23 | US | 2026-07-23_US_02 | 미국, 60개 경제권에 강제노동 연계 Section 301 관세 확정 | FACT: USTR는 7월 23일 강제노동 생산품 수입금지의 도입·집행 부족을 이유로 미국 수입의 99.4%를 차지하는 60개 경제권에 Section 301 관세를 부과하는 최종조치를 발표했다. 세율은 10%, 일부 EU·대만·일본·한국·스위스 품목의 10% 또는 12.5% MFN 차감형, 그 밖의 경제권 12.5%로 구분되며 Se | GATE: 국가별 명목세율만으로 특정 제품의 실효관세를 확정할 수 없다. 원산지 경제권, HTS 분류, MFN 세율, Section 232 중복 여부와 Federal Register 면제품목표를 함께 대조해야 한다.
007 | top  | 2026-07-23 | KR | 2026-07-23_KR_01 | 금융위·산업부, 핵심광물 개발·가공·재자원화 금융지원 연계 | FACT: 금융위원회와 산업통상자원부는 2026년 7월 23일 핵심광물 공급망 강화 금융지원 협력회의를 열었다. 양 부처는 해외개발, 국내 가공과 재자원화 사업에 국민성장펀드와 정책금융기관 지원을 연계하는 방향을 제시했다. | GATE: 지원범위를 광산 확보에 한정하지 않고 중간가공과 재활용까지 연결한 점이 핵심이다. 구체적인 심사기준·지원한도와 개별 프로젝트 집행이 정책효과를 판단할 기준이다.
008 | top  | 2026-07-22 | US | 2026-07-22_US_02 | 미 상무부, 미주리 핵심광물 Tech Hub에 3,800만달러 지원 | FACT: 미 상무부 경제개발청은 2026년 7월 22일 미주리 S&T가 참여하는 핵심광물 기술허브에 3,800만달러 지원을 발표했다. 사업은 미국 내 핵심광물 정제·가공과 첨단제조 역량 강화를 목표로 한다. | GATE: 연구지원보다 지역 제조생태계와 상업화 시설을 겨냥한 연방투자다. 자금집행이 실제 파일럿·생산설비와 민간투자로 연결되는지가 공급망 효과의 기준이다.
009 | top  | 2026-07-22 | US | 2026-07-22_US_01 | 브룩필드, 약 70억달러 기업가치의 북미 BESS 플랫폼 Aypa Power 인수계약 | FACT: 블랙스톤과 브룩필드의 공식 발표에 따르면 거래 기준 기업가치는 약 70억달러다. Aypa Power는 6.5GW의 운영·계약 용량과 20GW를 넘는 개발 파이프라인을 보유한다. | GATE: 대형 인프라 자본이 개별 BESS가 아니라 개발 플랫폼 전체를 인수하는 거래다. 운영·계약 자산과 개발 파이프라인을 함께 확보하는 구조가 관찰되며, 거래 종결과 개발사업의 실제 전환이 다음 점검 지점이다.
010 | top  | 2026-07-22 | GL | 2026-07-22_GL_01 | Wesfarmers·SQM, Mt Holland 리튬정광 연 76만톤 증설 FID | FACT: Wesfarmers와 SQM은 서호주 Mt Holland 광산의 리튬정광 생산능력을 연 38만톤에서 76만톤으로 확대하는 최종투자결정을 내렸다. 첫 추가 생산은 2030년으로 예상된다. | GATE: 최종투자결정은 증설을 위한 자본투입을 확정한 단계지만 추가 생산은 2030년 목표다. 광산의 정광능력 확대와 정제제품 공급증가는 별도 공정·판매경로로 구분해야 한다.
011 | top  | 2026-07-21 | US | 2026-07-21_US_01 | Sila, 3억달러 조달해 Moses Lake 실리콘 음극재 2단계 증설 지원 | FACT: Sila는 2026년 7월 21일 Atreides Management와 Sutter Hill Ventures가 주도한 3억달러 사모증자를 발표했다. 회사는 자금을 미국 생산확대와 워싱턴주 Moses Lake 공장의 계획된 2단계 증설 지원에 사용한다고 밝혔다. | GATE: 3억달러 조달은 생산확대 재원을 확보한 별도 실행단계다. 다만 조달완료가 2단계 착공·설비발주 또는 확정 증설물량을 의미하지는 않는다.
